Movie Name,Release Year,Director,Age Difference,Actor 1 Name,Actor 1 Gender,Actor 1 Birthdate,Actor 1 Age,Actor 2 Name,Actor 2 Gender,Actor 2 Birthdate,Actor 2 Age
An Affair to Remember,1957,Leo McCarey,17,Cary Grant,man,1/18/1904,53,Deborah Kerr,woman,9/30/1921,36
Avengers: Age of Ultron,2015,Joss Whedon,17,Mark Ruffalo,man,11/22/1967,48,Scarlett Johansson,woman,11/22/1984,31
Blade Runner,1982,Ridley Scott,17,Harrison Ford,man,7/13/1942,40,Sean Young,woman,11/20/1959,23
Closer,2004,Mike Nichols,17,Clive Owen,man,10/3/1964,40,Natalie Portman,woman,6/9/1981,23
Draft Day,2014,Ivan Reitman,17,Kevin Costner,man,1/18/1955,59,Jennifer Garner,woman,4/17/1972,42
Free Guy,2021,Shawn Levy,17,Ryan Reynolds,man,10/23/1976,45,Jodie Comer,woman,3/11/1993,28
GoldenEye,1995,Martin Campbell,17,Pierce Brosnan,man,5/16/1953,42,Izabella Scorupco,woman,6/4/1970,25
Green Book,2018,Peter Farrelly,17,Viggo Mortensen,man,10/20/1958,60,Linda Cardellini,woman,6/25/1975,43
Husbands,1970,John Cassavetes,17,John Cassavetes,man,12/9/1929,41,Jenny Runacre,woman,8/18/1946,24
Joker,2019,Todd Phillips,17,Joaquin Phoenix,man,10/28/1974,45,Zazie Beetz,woman,5/28/1991,28
Kindergarten Cop,1990,Ivan Reitman,17,Arnold Schwarzenegger,man,7/30/1947,43,Penelope Ann Miller,woman,1/13/1964,26
Knock Knock,2015,Eli Roth,17,Keanu Reeves,man,9/2/1964,51,Ignacia Allamand,woman,8/29/1981,34
Laggies,2014,Lynn Shelton,17,Sam Rockwell,man,11/5/1968,46,Keira Knightley,woman,3/26/1985,29
Mr. Right,2015,Paco Cabezas,17,Sam Rockwell,man,11/5/1968,47,Anna Kendrick,woman,8/9/1985,30
Oblivion,2013,Joseph Kosinski,17,Tom Cruise,man,7/3/1962,51,Olga Kurylenko,woman,11/14/1979,34
Raging Bull,1980,Martin Scorsese,17,Robert De Niro,man,8/18/1943,37,Cathy Moriarty,woman,11/29/1960,20
Rock of Ages,2012,Adam Shankman,17,Alec Baldwin,man,4/3/1958,54,Russell Brand,man,6/4/1975,37
Secretary,2002,Steven Shainberg,17,James Spader,man,2/7/1960,42,Maggie Gyllenhaal,woman,11/16/1977,25
Sleepy Hollow,1999,Tim Burton,17,Johnny Depp,man,6/9/1963,36,Christina Ricci,woman,2/12/1980,19
Spectre,2015,Sam Mendes,17,Daniel Craig,man,3/2/1968,47,Léa Seydoux,woman,7/1/1985,30
Stepmom,1998,Chris Columbus,17,Ed Harris,man,11/28/1950,48,Julia Roberts,woman,10/28/1967,31
The Cooler,2003,Wayne Kramer,17,William H. Macy,man,3/13/1950,53,Maria Bello,woman,4/18/1967,36
The Girl on the Train,2016,Tate Taylor,17,Justin Theroux,man,8/10/1971,45,Haley Bennett,woman,1/7/1988,28
The Girl with the Dragon Tattoo,2011,David Fincher,17,Daniel Craig,man,3/2/1968,43,Rooney Mara,woman,4/17/1985,26
The Only Living Boy in New York,2017,Marc Webb,17,Callum Turner,man,2/15/1990,27,Kate Beckinsale,woman,7/26/1973,44
The Whole Nine Yards,2000,Jonathan Lynn,17,Bruce Willis,man,3/19/1955,45,Amanda Peet,woman,1/11/1972,28
The Wolverine,2013,James Mangold,17,Hugh Jackman,man,10/12/1968,45,Tao Okamoto,woman,5/22/1985,28
Tomorrow Never Dies,1997,Roger Spottiswoode,17,Jonathan Pryce,man,6/1/1947,50,Teri Hatcher,woman,12/8/1964,33
Trees Lounge,1996,Steve Buscemi,17,Steve Buscemi,man,12/13/1957,39,Chloë Sevigny,woman,11/18/1974,22
A Thousand Words,2012,Brian Robbins,16,Eddie Murphy,man,4/3/1961,51,Kerry Washington,woman,1/31/1977,35
American Hustle,2013,David O. Russell,16,Christian Bale,man,1/30/1974,39,Jennifer Lawrence,woman,8/15/1990,23
Carol,2015,Todd Haynes,16,Cate Blanchett,woman,5/14/1969,46,Rooney Mara,woman,4/17/1985,30
Casablanca,1942,Michael Curtiz,16,Humphrey Bogart,man,1899-12-25,43,Ingrid Bergman,woman,8/29/1915,27
Damage,1992,Louis Malle,16,Jeremy Irons,man,9/19/1948,44,Juliette Binoche,woman,3/9/1964,28
Elegy,2008,Isabel Coixet,16,Ben Kingsley,man,12/31/1943,65,Patricia Clarkson,woman,12/29/1959,49
First Knight,1995,Jerry Zucker,16,Richard Gere,man,8/31/1949,46,Julia Ormond,woman,1/4/1965,30
Hobbs & Shaw,2019,David Leitch,16,Dwayne Johnson,man,5/2/1972,47,Vanessa Kirby,woman,4/18/1988,31
I Now Pronounce You Chuck and Larry,2007,Dennis Dugan,16,Adam Sandler,man,9/9/1966,41,Jessica Biel,woman,3/3/1982,25
Love Actually,2003,Richard Curtis,16,Hugh Grant,man,9/9/1960,43,Martine McCutcheon,woman,5/14/1976,27
Love Actually,2003,Richard Curtis,16,Colin Firth,man,9/10/1960,43,Lucia Moniz,woman,9/9/1976,27
My Life,1993,Bruce Joel Rubin,16,Michael Keaton,man,9/5/1951,42,Nicole Kidman,woman,6/20/1967,26
Nights in Rodanthe,2008,George C. Wolfe,16,Richard Gere,man,8/31/1949,59,Diane Lane,woman,1/21/1965,43
Now You See Me,2013,Louis Leterrier,16,Mark Ruffalo,man,11/22/1967,46,Melanie Laurent,woman,2/21/1983,30
Regarding Henry,1991,Mike Nichols,16,Harrison Ford,man,7/13/1942,49,Annette Bening,woman,5/29/1958,33
Remember the Titans,2000,Boaz Yakin,16,Denzel Washington,man,12/28/1954,46,Nicole Ari Parker,woman,10/7/1970,30
Rock of Ages,2012,Adam Shankman,16,Tom Cruise,man,7/3/1962,50,Malin Akerman,woman,5/12/1978,34
Safe Haven,2013,Scott Hicks,16,Josh Duhamel,man,11/14/1972,41,Julianne Hough,woman,7/20/1988,25
Scoop,2006,Woody Allen,16,Hugh Jackman,man,10/12/1968,38,Scarlett Johansson,woman,11/22/1984,22
Sister Act,1992,Emile Ardolino,16,Harvey Keitel,man,5/13/1939,53,Whoopi Goldberg,woman,11/13/1955,37
The Diary of a Teenage Girl,2015,Marielle Heller,16,Alexander Skarsgard,man,8/25/1976,39,Bel Powley,woman,3/7/1992,23
The Family Stone,2007,Thomas Bezucha,16,Dermot Mulroney,man,10/31/1963,44,Claire Danes,woman,4/12/1979,28
The Living Daylights,1987,John Glen,16,Jeroen Krabbe,man,12/5/1944,43,Maryam d'Abo,woman,12/27/1960,27
The Lost City,2022,"Adam Nee, Aaron Nee",16,Channing Tatum,man,4/26/1980,42,Sandra Bullock,woman,7/26/1964,58
The Other Boleyn Girl,2008,Justin Chadwick,16,Eric Bana,man,8/9/1968,40,Scarlett Johansson,woman,11/22/1984,24
The Prestige,2006,Christopher Nolan,16,Hugh Jackman,man,10/12/1968,38,Scarlett Johansson,woman,11/22/1984,22
The Raven,2012,James McTeigue,16,John Cusack,man,6/28/1966,46,Alice Eve,woman,2/6/1982,30
The Sand Pebbles,1966,Robert Wise,16,Steve McQueen,man,3/24/1930,36,Candice Bergen,woman,5/9/1946,20
The Wolf of Wall Street,2013,Martin Scorsese,16,Leonardo DiCaprio,man,11/11/1974,39,Margot Robbie,woman,7/2/1990,23
Troy,2004,Wolfgang Petersen,16,Brad Pitt,man,12/18/1963,41,Rose Byrne,woman,7/24/1979,25
Unfaithful,2002,Adrian Lyne,16,Richard Gere,man,8/31/1949,53,Diane Lane,woman,1/21/1965,37
What Lies Beneath,2000,Robert Zemeckis,16,Harrison Ford,man,7/13/1942,58,Michelle Pfeiffer,woman,4/29/1958,42
Why Him?,2016,John Hamburg,16,James Franco,man,4/19/1978,38,Zoey Deutch,woman,11/10/1994,22
Analyze This,1999,Harold Ramis,15,Billy Crystal,man,3/14/1948,51,Lisa Kudrow,woman,7/30/1963,36
Angel Heart,1987,Alan Parker,15,Mickey Rourke,man,9/16/1952,35,Lisa Bonet,woman,11/16/1967,20
Casino,1995,Martin Scorsese,15,Robert De Niro,man,8/18/1943,52,Sharon Stone,woman,3/10/1958,37
Concussion,2015,Peter Landesman,15,Will Smith,man,9/25/1968,47,Gugu Mbatha-Raw,woman,4/21/1983,32
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,15,Mark Ruffalo,man,11/22/1967,37,Kirsten Dunst,woman,4/30/1982,22
Hollywood Ending,2002,Woody Allen,15,Treat Williams,man,12/1/1951,51,Tea Leoni,woman,2/25/1966,36
Home Again,2017,Hallie Meyers-Shyer,15,Pico Alexander,man,6/3/1991,26,Reese Witherspoon,woman,3/21/1976,41
Liberal Arts,2012,Josh Radnor,15,Josh Radnor,man,7/29/1974,38,Elizabeth Olsen,woman,2/16/1989,23
Licence to Kill,1989,John Glen,15,Timothy Dalton,man,3/21/1946,43,Carey Lowell,woman,2/11/1961,28
Music and Lyrics,2007,Marc Lawrence,15,Hugh Grant,man,9/9/1960,47,Drew Barrymore,woman,2/22/1975,32
Once Upon a Time in Hollywood,2019,Quentin Tarantino,15,Leonardo DiCaprio,man,11/11/1974,45,Lorenza Izzo,woman,9/19/1989,30
Private Parts,1997,Betty Thomas,15,Howard Stern,man,1/12/1954,43,Mary McCormack,woman,2/8/1969,28
Serena,2014,Susanne Bier,15,Bradley Cooper,man,1/5/1975,39,Jennifer Lawrence,woman,8/15/1990,24
Sex and the City,2008,Michael Patrick King,15,Jason Lewis,man,6/25/1971,37,Kim Cattrall,woman,8/21/1956,52
Silver Linings Playbook,2012,David O. Russell,15,Bradley Cooper,man,1/5/1975,37,Jennifer Lawrence,woman,8/15/1990,22
The American,2010,Anton Corbijn,15,George Clooney,man,5/6/1961,49,Violante Placido,woman,5/1/1976,34
The Gift,2000,Sam Raimi,15,Greg Kinnear,man,6/17/1963,37,Katie Holmes,woman,12/18/1978,22
The Lover,1992,Jean-Jacques Annaud,15,Tony Leung Ka-fai,man,2/1/1958,34,Jane March,woman,3/20/1973,19
The Man with the Golden Gun,1974,Guy Hamilton,15,Roger Moore,man,10/14/1927,47,Britt Ekland,woman,10/6/1942,32
The Reader,2008,Stephen Daldry,15,David Kross,man,7/4/1990,18,Kate Winslet,woman,10/5/1975,33
The Whole Truth,2016,Courtney Hunt,15,Jim Belushi,man,6/15/1954,62,Renee Zellweger,woman,4/25/1969,47
Working Girl,1988,Mike Nichols,15,Harrison Ford,man,7/13/1942,46,Melanie Griffith,woman,8/9/1957,31
8 1/2,1963,Federico Fellini,14,Marcello Mastroianni,man,9/28/1924,39,Claudia Cardinale,woman,4/15/1938,25
A Perfect Murder,1998,Andrew Davis,14,Viggo Mortensen,man,10/20/1958,40,Gwyneth Paltrow,woman,9/27/1972,26
Ad Astra,2019,James Gray,14,Brad Pitt,man,12/18/1963,56,Liv Tyler,woman,7/1/1977,42
Always Be My Maybe,2019,Nahnatchka Khan,14,Daniel Dae Kim,man,8/4/1968,51,Ali Wong,woman,4/19/1982,37
An Education,2009,Lone Scherfig,14,Peter Sarsgaard,man,3/7/1971,38,Carey Mulligan,woman,5/28/1985,24
Basic Instinct,1992,Paul Verhoeven,14,Michael Douglas,man,9/25/1944,48,Sharon Stone,woman,3/10/1958,34
Because I Said So,2007,Michael Lehmann,14,Tom Everett Scott,man,9/7/1970,37,Mandy Moore,woman,4/10/1984,23
Dreamgirls,2006,Bill Condon,14,Jamie Foxx,man,12/13/1967,39,Jennifer Hudson,woman,9/12/1981,25
Dreamgirls,2006,Bill Condon,14,Jamie Foxx,man,12/13/1967,39,Beyonce Knowles,woman,9/4/1981,25
Fifty Shades of Black,2016,undefined,14,Marlon Wayans,man,7/23/1972,44,Kali Hawk,woman,10/4/1986,30
French Kiss,1995,Lawrence Kasdan,14,Kevin Kline,man,10/24/1947,48,Meg Ryan,woman,11/19/1961,34
From Russia with Love,1963,Terence Young,14,Sean Connery,man,8/25/1930,33,Aliza Gur,woman,4/1/1944,19
High Society,1956,Charles Walters,14,Frank Sinatra,man,12/12/1915,41,Grace Kelly,woman,11/12/1929,27
Irrational Man,2015,Woody Allen,14,Joaquin Phoenix,man,10/28/1974,41,Emma Stone,woman,11/6/1988,27
Keeping Up with the Joneses,2016,Greg Mottola,14,Jon Hamm,man,3/10/1971,45,Gal Gadot,woman,4/30/1985,31
Licence to Kill,1989,John Glen,14,Robert Davi,man,6/26/1953,36,Talisa Soto,woman,3/27/1967,22
Mission: Impossible III,2006,J.J. Abrams,14,Tom Cruise,man,7/3/1962,44,Michelle Monaghan,woman,3/23/1976,30
Pushing Tin,1999,Mike Newell,14,Billy Bob Thornton,man,8/4/1955,44,Cate Blanchett,woman,5/14/1969,30
Rumor Has It...,2005,Rob Reiner,14,Kevin Costner,man,1/18/1955,50,Jennifer Aniston,woman,2/11/1969,36
Star Wars,1977,George Lucas,14,Harrison Ford,man,7/13/1942,35,Carrie Fisher,woman,10/21/1956,21
Ted 2,2015,Seth MacFarlane,14,Mark Wahlberg,man,6/5/1971,44,Amanda Seyfried,woman,12/3/1985,30
The American President,1995,Rob Reiner,14,Michael Douglas,man,9/25/1944,51,Annette Bening,woman,5/29/1958,37
The Beach,2000,Danny Boyle,14,Leonardo DiCaprio,man,11/11/1974,26,Tilda Swinton,woman,12/5/1960,40
The Crush,1993,Alan Shapiro,14,Cary Elwes,man,10/26/1962,31,Alicia Silverstone,woman,10/4/1976,17
The Favourite,2018,Yorgos Lanthimos,14,Olivia Colman,woman,1/30/1974,44,Emma Stone,woman,11/6/1988,30
The Gift,2000,Sam Raimi,14,Keanu Reeves,man,9/2/1964,36,Katie Holmes,woman,12/18/1978,22
The Legend of Tarzan,2016,David Yates,14,Alexander Skarsgard,man,8/25/1976,40,Margot Robbie,woman,7/2/1990,26
The Living Daylights,1987,John Glen,14,Timothy Dalton,man,3/21/1946,41,Maryam d'Abo,woman,12/27/1960,27
The Quiet American,2002,Phillip Noyce,14,Brendan Fraser,man,12/3/1968,34,Do Thi Hai Yen,woman,10/1/1982,20
We Bought a Zoo,2011,Cameron Crowe,14,Matt Damon,man,10/8/1970,41,Scarlett Johansson,woman,11/22/1984,27
Widows,2018,Steve McQueen,14,Jon Bernthal,man,9/20/1976,42,Elizabeth Debicki,woman,8/24/1990,28
3000 Miles to Graceland,2001,Demian Lichtenstein,13,Kurt Russell,man,3/17/1951,50,Courteney Cox,woman,6/15/1964,37
A Star Is Born,1954,George Cukor,13,James Mason,man,5/15/1909,45,Judy Garland,woman,6/10/1922,32
Aloha,2015,Cameron Crowe,13,Bradley Cooper,man,1/5/1975,40,Emma Stone,woman,11/6/1988,27
Anna Karenina,2012,Joe Wright,13,Jude Law,man,12/29/1972,40,Keira Knightley,woman,3/26/1985,27
Bohemian Rhapsody,2018,Bryan Singer,13,Rami Malek,man,5/12/1981,37,Lucy Boynton,woman,1/17/1994,24
Bridge of Spies,2015,Steven Spielberg,13,Tom Hanks,man,7/9/1956,59,Amy Ryan,woman,5/3/1969,46
Die Another Day,2002,Lee Tamahori,13,Pierce Brosnan,man,5/16/1953,49,Halle Berry,woman,8/14/1966,36
Elf,2003,Jon Favreau,13,Will Ferrell,man,7/16/1967,36,Zooey Deschanel,woman,1/17/1980,23
Emma.,2020,   Autumn de Wilde,13,Johnny Flynn,man,3/14/1983,37,Anya Taylor-Joy,woman,4/16/1996,24
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,13,Jim Carrey,man,1/17/1962,42,Kate Winslet,woman,10/5/1975,29
Feeling Minnesota,1996,Steven Baigelman,13,Vincent D'Onofrio,man,6/30/1959,37,Cameron Diaz,woman,8/30/1972,24
For Your Eyes Only,1981,John Glen,13,Chaim Topol,man,9/9/1935,46,Cassandra Harris,woman,12/15/1948,33
How Stella Got Her Groove Back,1998,Kevin Rodney Sullivan,13,Angela Bassett,woman,8/16/1958,40,Taye Diggs,man,1/2/1971,27
John Q.,2002,Nick Cassavetes,13,Denzel Washington,man,12/28/1954,48,Kimberly Elise,woman,4/17/1967,35
Joy,2015,David O. Russell,13,Edgar Ramirez,man,3/25/1977,38,Jennifer Lawrence,woman,8/15/1990,25
Layer Cake,2004,Matthew Vaughn,13,Daniel Craig,man,3/2/1968,36,Sienna Miller,woman,12/28/1981,23
Love Actually,2003,Richard Curtis,13,Alan Rickman,man,2/21/1946,57,Emma Thompson,woman,4/15/1959,44
Nine Lives,2016,Barry Sonnenfeld,13,Kevin Spacey,man,7/26/1959,57,Jennifer Garner,woman,4/17/1972,44
Palo Alto,2013,Gia Coppola,13,James Franco,man,4/19/1978,35,Emma Roberts,woman,2/10/1991,22
Red Notice,2021,Rawson Marshall Thurber,13,Dwayne Johnson,man,5/2/1972,49,Gal Gadot,woman,4/30/1985,36
Roman Holiday,1953,William Wyler,13,Gregory Peck,man,4/5/1916,37,Audrey Hepburn,woman,5/4/1929,24
Schindler's List,1993,Steven Spielberg,13,Liam Neeson,man,6/7/1952,41,Beatrice Macola,woman,12/2/1965,28
Suicide Squad,2016,David Ayer,13,Joel Kinnaman,man,11/25/1979,37,Cara Delevingne,woman,8/12/1992,24
The Adjustment Bureau,2011,George Nolfi,13,Matt Damon,man,10/8/1970,41,Emily Blunt,woman,2/23/1983,28
The Devil Wears Prada,2006,David Frankel,13,Simon Baker,man,7/30/1969,37,Anne Hathaway,woman,11/12/1982,24
The Heartbreak Kid,2007,"Bobby Farrelly, Peter Farrelly",13,Ben Stiller,man,11/30/1965,42,Malin Akerman,woman,5/12/1978,29
The Illusionist,2006,Neil Burger,13,Edward Norton,man,8/18/1969,37,Jessica Biel,woman,3/3/1982,24
The Other Boleyn Girl,2008,Justin Chadwick,13,Eric Bana,man,8/9/1968,40,Natalie Portman,woman,6/9/1981,27
The Polka King,2018,Maya Forbes,13,Jack Black,man,8/28/1969,49,Jenny Slate,woman,3/25/1982,36
The Sixth Sense,1999,M. Night Shyamalan,13,Bruce Willis,man,3/19/1955,44,Olivia Williams,woman,7/26/1968,31
The World Is Not Enough,1999,Michael Apted,13,Pierce Brosnan,man,5/16/1953,46,Sophie Marceau,woman,11/17/1966,33
When Harry Met Sally...,1989,Rob Reiner,13,Billy Crystal,man,3/14/1948,41,Meg Ryan,woman,11/19/1961,28
Widows,2018,Steve McQueen,13,Liam Neeson,man,6/7/1952,66,Viola Davis,woman,8/11/1965,53
Wonder Boys,2000,Curtis Hanson,13,Michael Douglas,man,9/25/1944,56,Frances McDormand,woman,6/23/1957,43
X-Men: First Class,2015,Matthew Vaughn,13,Michael Fassbender,man,4/2/1977,38,Jennifer Lawrence,woman,8/15/1990,25
Yogi Bear,2010,Eric Brevig,13,Tom Cavanagh,man,10/26/1963,47,Anna Faris,woman,11/29/1976,34
You Only Live Twice,1967,Lewis Gilbert,13,Sean Connery,man,8/25/1930,37,Mie Hama,woman,11/20/1943,24
All About the Benjamins,2002,Kevin Bray,12,Tommy Flanagan,man,7/3/1965,37,Carmen Chaplin,woman,7/27/1977,25
Allied,2016,Robert Zemeckis,12,Brad Pitt,man,12/18/1963,53,Marion Cotillard,woman,9/30/1975,41
Bad Santa,2003,Terry Zwigoff,12,Billy Bob Thornton,man,8/4/1955,48,Lauren Graham,woman,3/16/1967,36
Because I Said So,2007,Michael Lehmann,12,Gabriel Macht,man,1/22/1972,35,Mandy Moore,woman,4/10/1984,23
Beginners,2010,Mike Mills,12,Ewan McGregor,man,3/31/1971,39,Melanie Laurent,woman,2/21/1983,27
Casino Royale,2006,Martin Campbell,12,Daniel Craig,man,3/2/1968,38,Eva Green,woman,7/6/1980,26
Delivery Man,2013,Ken Scott,12,Vince Vaughn,man,3/28/1970,43,Cobie Smulders,woman,4/3/1982,31
Down and Out in Beverly Hills,1986,Paul Mazursky,12,Richard Dreyfuss,man,10/29/1947,39,Elizabeth Peña,woman,9/23/1959,27
From Russia with Love,1963,Terence Young,12,Sean Connery,man,8/25/1930,33,Daniela Bianchi,woman,1/31/1942,21
Gone with the Wind,1939,Victor Fleming,12,Clark Gable,man,2/1/1901,38,Vivien Leigh,woman,11/5/1913,26
Heat,1995,Michael Mann,12,Al Pacino,man,4/25/1940,55,Diane Venora,woman,8/10/1952,43
I Think I Love My Wife,2007,Chris Rock,12,Chris Rock,man,2/7/1965,42,Kerry Washington,woman,1/31/1977,30
In the Heights,2021,John M. Chu,12,Daphne Rubin-Vega,woman,11/18/1969,52,Stephanie Beatriz,woman,2/10/1981,40
Inferno,2016,Ron Howard,12,Tom Hanks,man,7/9/1956,60,Sidse Babett Knudsen,woman,11/22/1968,48
Jack and Jill,2011,Dennis Dugan,12,Adam Sandler,man,9/9/1966,45,Katie Holmes,woman,12/18/1978,33
Jane Eyre,2011,Cary Fukunaga,12,Michael Fassbender,man,4/2/1977,34,Mia Wasikowska,woman,10/14/1989,22
La decima vittima,1965,Elio Petri,12,Marcello Mastroianni,man,9/28/1924,41,Ursula Andress,woman,3/19/1936,29
Last Night,2010,Massy Tadjedin,12,Guillaume Canet,man,4/10/1973,37,Keira Knightley,woman,3/26/1985,25
Lo Sceicco Bianco,1952,Federico Fellini,12,Alberto Sordi,man,6/15/1920,32,Brunella Bovo,woman,3/4/1932,20
Malcolm & Marie,2021,Sam Levinson,12,John David Washington,man,7/28/1984,37,Zendaya,woman,9/1/1996,25
Mr. & Mrs. Smith,2005,Doug Liman,12,Brad Pitt,man,12/18/1963,42,Angelina Jolie,woman,6/4/1975,30
National Treasure,2004,Jon Turteltaub,12,Nicolas Cage,man,1/7/1964,40,Diane Kruger,woman,7/15/1976,28
Natural Born Killers,1994,Oliver Stone,12,Woody Harrelson,man,7/23/1961,33,Juliette Lewis,woman,6/21/1973,21
Stella Dallas,1937,King Vidor,12,John Boles,man,1895-10-28,42,Barbara Stanwyck,woman,7/16/1907,30
Taken,2008,Pierre Morel,12,Liam Neeson,man,6/7/1952,56,Famke Janssen,woman,11/5/1964,44
Ted,2012,Seth MacFarlane,12,Mark Wahlberg,man,6/5/1971,41,Mila Kunis,woman,8/14/1983,29
The Astronaut's Wife,1999,Rand Ravich,12,Johnny Depp,man,6/9/1963,36,Charlize Theron,woman,8/7/1975,24
The Girl on the Train,2016,Tate Taylor,12,Justin Theroux,man,8/10/1971,45,Emily Blunt,woman,2/23/1983,33
The Girl on the Train,2016,Tate Taylor,12,Justin Theroux,man,8/10/1971,45,Rebecca Ferguson,woman,10/19/1983,33
The Greatest Showman,2017,Michael Gracey,12,Hugh Jackman,man,10/12/1968,49,Michelle Williams,woman,9/9/1980,37
The Proposal,2009,Anne Fletcher,12,Ryan Reynolds,man,10/23/1976,33,Sandra Bullock,woman,7/26/1964,45
The Spy Who Dumped Me,2018, Susanna Fogel,12,Justin Theroux,man,8/10/1971,47,Mila Kunis,woman,8/14/1983,35
The Wrestler,2008,Darren Aronofsky,12,Mickey Rourke,man,9/16/1952,56,Marisa Tomei,woman,12/4/1964,44
Tootsie,1982,Sydney Pollack,12,Dustin Hoffman,man,8/8/1937,45,Jessica Lange,woman,4/20/1949,33
Up in the Air,2009,Jason Reitman,12,George Clooney,man,5/6/1961,48,Vera Farmiga,woman,8/6/1973,36
World War Z,2013,Marc Forster,12,Brad Pitt,man,12/18/1963,50,Mireille Enos,woman,9/22/1975,38
A Good Year,2006,Ridley Scott,11,Russell Crowe,man,4/7/1964,42,Marion Cotillard,woman,9/30/1975,31
A Star Is Born,2018,Bradley Cooper,11,Bradley Cooper,man,1/5/1975,43,Lady Gaga,woman,3/28/1986,32
Annie Hall,1977,Woody Allen,11,Woody Allen,man,12/1/1935,42,Diane Keaton,woman,1/5/1946,31
Barfly,1987,Barbet Schroeder,11,Mickey Rourke,man,9/16/1952,35,Faye Dunaway,woman,1/14/1941,46
Black Panther,2018,Ryan Coogler,11,Daniel Kaluuya,man,2/24/1989,29,Danai Gurira,woman,2/14/1978,40
Blow,2001,Ted Demme,11,Johnny Depp,man,6/9/1963,38,Penelope Cruz,woman,4/28/1974,27
Boogie Nights,1997,Paul Thomas Anderson,11,Mark Wahlberg,man,6/5/1971,26,Julianne Moore,woman,12/3/1960,37
Dreamgirls,2006,Bill Condon,11,Eddie Murphy,man,4/3/1961,45,Anika Noni Rose,woman,9/6/1972,34
Emma,1996, Douglas McGrath,11,Jeremy Northam,man,12/1/1961,35,Gwyneth Paltrow,woman,9/27/1972,24
From Russia with Love,1963,Terence Young,11,Sean Connery,man,8/25/1930,33,Martine Beswick,woman,9/26/1941,22
Henry’s Crime,2010,Malcolm Venville,11,Keanu Reeves,man,9/2/1964,46,Judy Greer,woman,7/20/1975,35
I Could Never Be Your Woman,2007,Amy Heckerling,11,Paul Rudd,man,4/6/1969,38,Michelle Pfeiffer,woman,4/29/1958,49
Indiana Jones and the Temple of Doom,1984,Steven Spielberg,11,Harrison Ford,man,7/13/1942,42,Kate Capshaw,woman,11/3/1953,31
Larry Crowne,2011,Tom Hanks,11,Tom Hanks,man,7/9/1956,55,Julia Roberts,woman,10/28/1967,44
Love Actually,2003,Richard Curtis,11,Laura Linney,woman,2/5/1964,39,Rodrigo Santoro,man,8/22/1975,28
Message in a Bottle,1999,Luis Mandoki,11,Kevin Costner,man,1/18/1955,44,Robin Wright,woman,4/8/1966,33
Monster's Ball,2001,Marc Forster,11,Billy Bob Thornton,man,8/4/1955,46,Halle Berry,woman,8/14/1966,35
Old School,2003,Todd Phillips,11,Luke Wilson,man,9/21/1971,32,Elisha Cuthbert,woman,11/30/1982,21
Passengers,2016,Morten Tyldum,11,Chris Pratt,man,6/21/1979,37,Jennifer Lawrence,woman,8/15/1990,26
Pride & Prejudice,2005,Joe Wright,11,Matthew Macfadyen,man,10/17/1974,31,Keira Knightley,woman,3/26/1985,20
Sabrina,1954,Billy Wilder,11,William Holden,man,4/17/1918,36,Audrey Hepburn,woman,5/4/1929,25
Save the Last Dance,2001,Thomas Carter,11,Sean Patrick Thomas,man,12/17/1970,31,Julia Stiles,woman,3/28/1981,20
Seven Pounds,2008,Gabriele Muccino,11,Will Smith,man,9/25/1968,40,Rosario Dawson,woman,5/9/1979,29
Sex and the City,2008,Michael Patrick King,11,Chris Noth,man,11/13/1954,54,Sarah Jessica Parker,woman,3/25/1965,43
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",11,Gene Kelly,man,8/23/1912,40,Jean Hagen,woman,8/3/1923,29
Skyfall,2012,Sam Mendes,11,Daniel Craig,man,3/2/1968,44,Berenice Marlohe,woman,5/19/1979,33
Smart People,2008,Noam Murro,11,Dennis Quaid,man,4/9/1954,54,Sarah Jessica Parker,woman,3/25/1965,43
Solo: A Star Wars Story,2018,Ron Howard,11,Woody Harrelson,man,7/23/1961,57,Thandie Newton,woman,11/6/1972,46
Stoker,2013,Park Chan-wook,11,Matthew Goode,man,4/3/1978,35,Mia Wasikowska,woman,10/14/1989,24
Sweet November,2001,Pat O'Connor,11,Keanu Reeves,man,9/2/1964,37,Charlize Theron,woman,8/7/1975,26
The Big Lebowski,1998,Joel Coen,11,Jeff Bridges,man,12/4/1949,49,Julianne Moore,woman,12/3/1960,38
The Decoy Bride,2011,Sheree Folkson,11,David Tennant,man,4/18/1971,40,Alice Eve,woman,2/6/1982,29
The Devil’s Advocate,1997,Taylor Hackford,11,Keanu Reeves,man,9/2/1964,33,Charlize Theron,woman,8/7/1975,22
The Family Stone,2007,Thomas Bezucha,11,Jamie Kaler,man,9/14/1964,43,Elizabeth Reaser,woman,6/15/1975,32
The Fast and the Furious,2001,Rob Cohen,11,Vin Diesel,man,7/18/1967,34,Michelle Rodriguez,woman,7/12/1978,23
The Good Girl,2002,Miguel Arteta,11,Jake Gyllenhaal,man,12/19/1980,22,Jennifer Aniston,woman,2/11/1969,33
The Great Gatsby,2013,Baz Luhrmann,11,Leonardo DiCaprio,man,11/11/1974,39,Carey Mulligan,woman,5/28/1985,28
